"rank","Country Name","Country Code","Continent","Growth Percentage"
62,"Haiti","HTI","North America","5.29%"
63,"Jordan","JOR","Asia","5.21%"
64,"Micronesia, Fed. Sts.","FSM","Oceania","5.15%"
65,"New Zealand","NZL","Oceania","4.65%"
66,"Hong Kong SAR, China","HKG","Asia","4.62%"
67,"Dominican Republic","DOM","North America","4.61%"
68,"Saudi Arabia","SAU","Asia","4.23%"
69,"Seychelles","SYC","Africa","4.02%"
70,"Zambia","ZMB","Africa","3.86%"
71,"United States","USA","North America","3.80%"
72,"Malaysia","MYS","Asia","3.72%"
73,"St. Vincent and the Grenadines","VCT","North America","3.56%"
74,"Puerto Rico","PRI","North America","3.53%"
75,"Pakistan","PAK","Asia","3.52%"
76,"Yemen, Rep.","YEM","Asia","3.43%"
77,"Moldova","MDA","Europe","3.40%"
78,"Qatar","QAT","Asia","3.33%"
79,"Sao Tome and Principe","STP","Africa","3.31%"
80,"Fiji","FJI","Oceania","3.29%"
81,"Iran, Islamic Rep.","IRN","Asia","3.17%"
82,"Sri Lanka","LKA","Asia","3.08%"
83,"Chad","TCD","Africa","2.88%"
84,"Bangladesh","BGD","Asia","2.77%"
85,"Sudan","SDN","Africa","2.76%"
86,"Kyrgyz Republic","KGZ","Asia","2.73%"
87,"Guatemala","GTM","North America","2.71%"
88,"Honduras","HND","North America","2.71%"
89,"Bahrain","BHR","Asia","2.55%"
90,"Antigua and Barbuda","ATG","North America","2.52%"
91,"El Salvador","SLV","North America","2.46%"
92,"Indonesia","IDN","Asia","2.46%"
93,"Equatorial Guinea","GNQ","Africa","2.40%"
94,"Brunei Darussalam","BRN","Asia","2.19%"
95,"Jamaica","JAM","North America","2.15%"
96,"Bahamas, The","BHS","North America","1.94%"
97,"Oman","OMN","Asia","1.89%"
98,"Niger","NER","Africa","1.66%"
99,"Burundi","BDI","Africa","1.66%"
100,"Namibia","NAM","Africa","1.64%"
101,"Singapore","SGP","Asia","1.58%"
102,"Algeria","DZA","Africa","1.44%"
103,"Japan","JPN","Asia","1.29%"
104,"Tuvalu","TUV","Oceania","1.27%"
105,"Canada","CAN","North America","1.24%"
106,"Maldives","MDV","Asia","1.22%"
107,"Korea, Rep.","KOR","Asia","0.90%"
108,"Latvia","LVA","Europe","0.86%"
109,"Togo","TGO","Africa","0.82%"
110,"Benin","BEN","Africa","0.80%"
111,"Ghana","GHA","Africa","0.68%"
112,"Turkey","TUR","Asia","0.58%"
112,"Turkey","TUR","Europe","0.58%"
114,"Norway","NOR","Europe","0.47%"
115,"Mexico","MEX","North America","0.32%"
116,"Burkina Faso","BFA","Africa","0.27%"
117,"Cote d'Ivoire","CIV","Africa","0.20%"
118,"Lithuania","LTU","Europe","0.10%"
119,"Kiribati","KIR","Oceania","0.04%"
120,"Estonia","EST","Europe","-0.31%"
121,"Azerbaijan","AZE","Asia","-0.34%"
121,"Azerbaijan","AZE","Europe","-0.34%"
123,"United Kingdom","GBR","Europe","-0.68%"
124,"Dominica","DMA","North America","-1.31%"
125,"Trinidad and Tobago","TTO","North America","-1.41%"
126,"Bermuda","BMU","North America","-1.76%"
127,"Nepal","NPL","Asia","-1.99%"
128,"Israel","ISR","Asia","-2.06%"
129,"Armenia","ARM","Europe","-2.06%"
129,"Armenia","ARM","Asia","-2.06%"
129,"Armenia","ARM","Africa","-2.06%"
132,"Vanuatu","VUT","Oceania","-2.12%"
133,"Madagascar","MDG","Africa","-2.14%"
134,"Gambia, The","GMB","Africa","-2.15%"
135,"India","IND","Asia","-2.38%"
136,"St. Lucia","LCA","North America","-2.49%"
137,"Tunisia","TUN","Africa","-2.61%"
138,"Albania","ALB","Europe","-2.66%"
139,"Cabo Verde","CPV","Africa","-2.79%"
140,"Montenegro","MNE","Europe","-2.93%"
141,"Sweden","SWE","Europe","-3.02%"
142,"Cameroon","CMR","Africa","-3.14%"
143,"Central African Republic","CAF","Africa","-3.23%"
144,"Paraguay","PRY","South America","-3.62%"
145,"Barbados","BRB","North America","-3.78%"
146,"Iceland","ISL","Europe","-3.84%"
147,"Croatia","HRV","Europe","-3.85%"
148,"Germany","DEU","Europe","-3.96%"
149,"Lesotho","LSO","Africa","-4.09%"
150,"Mauritania","MRT","Africa","-4.15%"
151,"Bosnia and Herzegovina","BIH","Europe","-4.17%"
152,"Bulgaria","BGR","Europe","-4.25%"
153,"Gabon","GAB","Africa","-4.35%"
154,"Bhutan","BTN","Asia","-4.58%"
155,"Morocco","MAR","Africa","-4.66%"
156,"Comoros","COM","Africa","-4.72%"
157,"Slovak Republic","SVK","Europe","-4.89%"
158,"Switzerland","CHE","Europe","-5.01%"
159,"Poland","POL","Europe","-5.02%"
160,"Malta","MLT","Europe","-5.21%"
161,"Austria","AUT","Europe","-5.44%"
162,"Senegal","SEN","Africa","-5.54%"
163,"Mali","MLI","Africa","-5.56%"
164,"South Africa","ZAF","Africa","-5.63%"
165,"Denmark","DNK","Europe","-5.90%"
166,"Botswana","BWA","Africa","-5.97%"
167,"Finland","FIN","Europe","-6.13%"
168,"Grenada","GRD","North America","-6.44%"
169,"Italy","ITA","Europe","-6.54%"
170,"Belgium","BEL","Europe","-6.60%"
171,"France","FRA","Europe","-6.61%"
172,"Romania","ROU","Europe","-6.91%"
173,"Ireland","IRL","Europe","-7.02%"
174,"Swaziland","SWZ","Africa","-7.10%"
175,"Mauritius","MUS","Africa","-7.19%"
176,"Luxembourg","LUX","Europe","-7.20%"
177,"Congo, Rep.","COG","Africa","-7.62%"
178,"Netherlands","NLD","Europe","-7.87%"
179,"Macedonia, FYR","MKD","Europe","-7.99%"
180,"Hungary","HUN","Europe","-8.88%"
181,"Spain","ESP","Europe","-9.14%"
182,"Czech Republic","CZE","Europe","-9.18%"
183,"Brazil","BRA","South America","-9.83%"
184,"Slovenia","SVN","Europe","-9.88%"
185,"Portugal","PRT","Europe","-10.46%"
186,"Cyprus","CYP","Europe","-10.74%"
186,"Cyprus","CYP","Asia","-10.74%"
188,"Serbia","SRB","Europe","-12.99%"
189,"Greece","GRC","Europe","-13.89%"
190,"Guinea-Bissau","GNB","Africa","-17.04%"
191,"Malawi","MWI","Africa","-26.29%"
192,"South Sudan","SSD","Africa","-48.87%"
